Number;Storage;Name;Est.;Country;Type;ABV;Vol;Date
1070;Big brown;Northern Monk Festive Star;;UK;Christmas;5.2;440;09/02/2023
1249;Big brown;Northern Monk Deadbeat;;UK;DDHIPA;7.4;440;26/08/2023
1373;Big brown;Northern Monk The Prodigal Son;;UK;DIPA;8.2;440;20/01/2024
1374;Big brown;Northern Monk Fudge Sundaze;;UK;pastry stout;8.4;440;20/01/2024
1325;Big brown;Stormtrooper Sadow Stout;;UK;stout;6.6;330;15/11/2023
1329;Big brown;Stormtrooper Space Hopera;;UK;NEPA;6.6;330;25/11/2023
751;Big brown;Monkman's Slaughter;;UK;bitter;6;330;
;Green;Weihenstephaner;1040;DE;beer;5.4;500;
937;Green;Weihenstephaner Dunkel;1040;DE;dunkel;5.3;500;13/10/2022
1286;Green;Weihenstephaner Vitus;1040;DE;weizenbock;7.7;500;05/10/2023
642;Green;Altbayrisch;;DE;hell;4.9;500;30/04/2021
;Green;König Ludwig Dunkel;;DE;Dunkel;5.1;500;
;Green;König Ludwig Weißbier;;DE;weißbier;5.5;500;
;Green;Holsten;1879;DE;beer;5;500;
;Green;Holsten Weizen;1879;DE;weizen;5.4;500;
;Green;Natu;;DE;blonde;;500;
;Green;Schonbrunner;;DE;bier;5;500;30/03/2016
;Green;Berliner Kindl Pils;1872;DE;pilsner;4.8;500;07/12/2014
688;Green;Berliner Kindl Weisse;1872;DE;weißbier;3;500;27/08/2021
1085;Green;Berliner Kindl Bock;1872;DE;bock;7;500;18/02/2023
1086;Green;Berliner Kindl Bock Dunkel;1872;DE;bock;7;500;18/02/2023
;Green;Arcobräu;1567;DE;beer;;500;
244;Green;Vollbier;;DE;Meister;4.9;500;04/10/2018
195;Green;Meistersud;1616;DE;Festbier;5.8;500;15/06/2018
591;Green;Augsburger;1464;DE;Kellerbier;5.4;500;23/12/2020
245;Green;Paulaner Weißbier;1634;DE;weißbier;5.5;500;04/10/2018
;Green;Paulaner Hefe-Weißbier;1634;DE;dunkel weißbier;5.3;500;01/04/2013
501;Green;Paulaner Salvator;1634;DE;Doppelbock;7.9;330;02/06/2020
550;Green;Paulaner Oktoberfest Bier;1634;DE;Festbier;6;500;14/10/2020
685;Green;Paulaner Ur-Dunkel;1634;DE;Ur-Dunkel;4.9;500;24/08/2021
686;Green;Paulaner Münchner Hell;1634;DE;hell;5;500;26/08/2021
1361;Green;Paulaner Münchner Hell;1634;DE;hell;5;500;21/12/2023
;Green;Steinhäuser;;DE;lager;4.7;250;01/06/2015
;Green;Warsteiner;1753;DE;beer;4.8;330;
1144;Green;Warsteiner Radler;1753;DE;radler;2.5;330;16/04/2023
;Green;Edelmeister;;DE;pilsner;4.5;500;
;Green;Valentins;;DE;weißbier;5.3;500;
;Green;Perlenbacher;;DE;pilsner;4.9;500;09/12/2014
;Green;Perlenbacher;;DE;pilsner;4.9;330;
;Green;Schwaben Brau;1878;DE;Christmas Beer;;500;
;Green;Rheinbacher;;DE;pilsner;4.8;500;27/01/2016
183;Green;Kloster Scheyern Hell;1119;DE;"abbey; hell";5.4;500;18/05/2018
197;Green;Kloster Scheyern Dunkel;1119;DE;"abbey; dunkel";5;500;16/06/2018
184;Green;Aktien Zwick'l;1857;DE;kellerbier;5.3;500;20/05/2018
832;Green;Th. König Zwickl;1858;DE;kellerbier;5.3;330;30/04/2022
196;Green;Andechs Doppelbock Dunkel;1455;DE;;7.1;500;16/06/2018
668;Green;Andechs Weissbier Dunkel;1455;DE;weißbier;5;500;17/07/2021
789;Green;Andechs Spezial Hell;1455;DE;hell;5.9;500;01/03/2022
792;Green;Andechs Export Dunkel;1455;DE;lager;4.9;500;07/03/2022
905;Green;Andechs Bergbock Hell;1455;DE;bock;7;500;10/09/2022
252;Green;Riegele;1386;DE;kellerbier;5;500;10/11/2018
633;Green;Zoller-Hof;1845;DE;beer;5.5;500;10/04/2021
641;Green;Maisel's Weisse;1887;DE;weißbier;5.2;500;30/04/2021
315;Green;Beck's Amber Lager;;DE;"amber; lager";5.7;330;27/04/2019
317;Green;Beck's Pils;;DE;pils;6;330;01/05/2019
368;Green;Beck's Red Ale;;DE;red ale;4.5;330;31/08/2019
1290;Green;Beck's Gold;;DE;beer;4.9;500;07/10/2023
355;Green;Heidelberger;1753;DE;pilsner;4.8;500;08/08/2019
1032;Green;Clucking Hen;;DE;weißbier;4.7;330;16/01/2023
416;Green;Spezial Rauchbier;;DE;rauchbier;4.9;500;08/12/2019
417;Green;Maximator;;DE;beer;7.5;500;09/12/2019
422;Green;Mönchshof Kellerbier;;DE;kellerbier;5.4;500;14/12/2019
848;Green;Mönchshof Zwickl;;DE;zwickl;5.4;500;21/05/2022
850;Green;Mönchshof Märzen;;DE;märzen;5.5;500;25/05/2022
851;Green;Mönchshof Lager;;DE;lager;4.9;500;26/05/2022
922;Green;Mönchshof Bockbier;;DE;bock;6.9;500;01/10/2022
1283;Green;Mönchshof Natur Radler;;DE;radler;2.5;500;03/10/2023
634;Green;Bayreuther;;DE;hell;4.9;500;10/04/2021
902;Green;Schönramer Pils;1780;DE;pilsner;5;500;07/09/2022
545;Green;Büro Pilsener;1308;DE;pilsner;4.9;330;04/10/2020
546;Green;Büro Schwarz;1308;DE;dark;4.9;330;05/10/2020
547;Green;Büro Weizen;1308;DE;wheat beer;5.3;330;09/10/2020
565;Green;Beer Garden by Night;;DE;dunkel weißbier;5.5;330;19/11/2020
551;Green;Herzoglich Bayerisches Brauhaus Tegernsee;;DE;dunkel;5;500;16/10/2020
554;Green;Herzoglich Bayerisches Brauhaus Tegernsee;;DE;pilsner;5;330;21/10/2020
917;Green;La Speziale;;DE;sour;5;330;21/09/2022
921;Green;Spaten;;DE;hell;5.2;500;01/10/2022
570;Green;Augustiner Edelstoff;1328;DE;beer;5.6;500;29/11/2020
562;Green;Augustinerbräu München;1328;DE;lager;5.2;500;01/12/2020
575;Green;Früh;1904;DE;Kölsch;4.8;500;04/12/2020
1270;Green;Früh;1904;DE;Kölsch;4.8;500;17/09/2023
293;Green;Erdinger Dunkel;1886;DE;Dunkel;5.3;500;12/03/2019
452;Green;Erdinger Weißbier;1886;DE;weißbier;5.6;500;25/01/2020
599;Green;Erdinger Urweisse;1886;DE;weißbier;4.9;500;31/12/2020
558;Green;Lemke Berlin Spree Coast;;DE;IPA;6.9;355;30/10/2020
;Green;Krombacher Pils;1803;DE;pilsner;4.8;330;
;Green;Krombacher Dark;1803;DE;dark;4.3;500;01/07/2015
606;Green;Krombacher Weizen;1803;DE;weizen;5.3;500;14/01/2021
1133;Green;Krombacher Natur Radler;1803;DE;radler;2.5;500;09/04/2023
576;Green;Ayinger Lager Hell;;DE;"lager; hell";4.9;500;06/12/2020
682;Green;Ayinger Kellerbier;;DE;kellerbier;4.9;500;24/08/2021
683;Green;Ayinger Jahrhundert Bier;;DE;Jahrhundert;5.5;500;24/08/2021
1102;Green;Ayinger Altbeirisch Dunkel;;DE;dunkel;5;500;04/03/2023
1103;Green;Ayinger Frühlingsbier;;DE;frühlingsbier;5.5;500;04/03/2023
1110;Green;Ayinger Bräuweisse;;DE;weissber;5.1;500;13/03/2023
684;Green;Hofbräuhaus;1589;DE;helles vollbier;5.1;500;24/08/2021
687;Green;Hofbräu;1589;DE;beer;5.1;500;26/08/2021
758;Green;Craftwerk Hop Head;;DE;American IPA;8;330;31/12/2021
759;Green;Craftwerk Mad Callista;;DE;session lager;3.9;330;31/12/2021
1080;Green;Craftwerk Holy Cow;;DE;tripel;9;330;17/02/2023
1098;Green;Giesinger;;DE;beer;5.3;500;01/03/2023
771;Green;The Beast from the Sewer;;DE;beer;5.2;330;31/01/2022
777;Green;The Devil and the Maid;;DE;NEIPA;6.5;330;08/02/2022
881;Green;The great Abul Abbas;;DE;pale ale;5.2;330;14/08/2022
889;Green;Bahkauv Pils;;DE;pilsner;4.9;330;31/08/2022
772;Green;Cornelius-Bräu Opulentus;;DE;ale;9.2;330;01/02/2022
825;Green;Cornelius-Bräu Eligius;;DE;strong pale;7.5;330;16/04/2022
1150;Green;Cornelius-Bräu Sanctus;;DE;strong pale;7.7;330;26/04/2023
1305;Green;Cornelius-Bräu Fructus;;DE;flavoured;8;330;21/10/2023
776;Green;Charlemagne;;DE;duppelbock;8;330;07/02/2022
778;Green;Lennet;;DE;beer;5.2;330;09/02/2022
791;Green;Schlüssel;1850;DE;alt;5;330;05/03/2022
802;Green;Chleudert den purschen zu poden;;DE;stout;7;330;18/03/2022
;Green;Weltenburger Kloster Hefe-Weißbier;1050;DE;"abbey; wheat beer; hell";5.4;500;08/04/2017
198;Green;Weltenburger Kloster Urtyp;1050;DE;"abbey; urtyp; hell";4.9;500;17/06/2018
753;Green;Weltenburger Kloster Pils;1050;DE;"abbey; pilsner";4.9;500;17/12/2021
;Green;Edelweiss;;DE;weißbier;5.3;500;16/07/2014
813;Green;Huber Weisses;;DE;weißbier;5.4;500;06/04/2022
820;Green;Eifeler Landbier;;DE;landbier;5.1;500;13/04/2022
773;Green;Brauerei Mittenwald Hell;;DE;hell;4.7;500;05/02/2022
971;Green;Mühlen;1858;DE;Kölsch;4.8;330;10/11/2022
467;Green;Ureich;1679;DE;pilsner;4.9;500;20/02/2020
627;Green;Apostel;;DE;"weißbier; hell";5.3;500;27/03/2021
631;Green;Herrnbräu;;DE;weißbier;5.4;500;05/04/2021
852;Green;Bolten Ur-Alt;1266;DE;altbier;4.9;330;01/06/2022
864;Green;Eifelbräu Landbier;1817;DE;landbier;5;500;
769;Green;Sester Kölsch;1805;DE;beer;4.8;500;27/01/2022
770;Green;St. Olberg Kupfer Heimat;;DE;"amber; lager";5.2;330;31/01/2022
882;Green;Braukollektiv Jamie's Irish red ale;;DE;red ale;4.6;330;14/08/2022
884;Green;Lieber Waldi Waldi Geröllheimer;;DE;session IPA;3.5;330;16/08/2022
907;Green;Lieber Waldi Maibock;;DE;maibock;6.5;330;10/09/2022
887;Green;Wildwuchs Bock Orange;;DE;doppelbock;7.9;330;22/08/2022
1302;Green;Wildwuchs X-tra;;DE;imperial dark ale;8;330;21/10/2023
892;Green;Astra Rotlicht;1909;DE;amber;6;330;03/09/2022
923;Green;Astra Urtyp;1909;DE;lager;4.9;330;01/10/2022
1285;Green;Astra Kiezmisce;1909;DE;radler;2.5;330;05/10/2023
955;Green;Benediktiner Weissbier Dunkel;;DE;dunkel weißbier;5.4;500;29/10/2022
900;Green;Freigeist Room 19;;DE;beetroot;4;330;06/09/2022
1155;Green;Freigeist Room 1410;;DE;spiced pumpkin beer;6;330;01/05/2023
1406;Green;Freigeist Room 16;;DE;chestnut ale;6;330;11/03/2024
555;Green;Aecht Schlenkerla Urbock;;DE;rauchbier;6.5;500;26/10/2020
568;Green;Aecht Schlenkerla Märzen;;DE;rauchbier;5.1;500;28/11/2020
919;Green;Aecht Schlenkerla Weizen;;DE;rauchbier;5.2;500;22/09/2022
945;Green;Aecht Schlenkerla Eiche;;DE;doppelbock;8;500;22/10/2022
970;Green;Crew Republic Foundation 11;2011;DE;German pale ale;5.6;330;10/11/2022
1037;Green;Crew Republic In Your Face;2011;DE;WCIPA;6.8;330;18/01/2023
1242;Green;Crew Republic Local Hero;2011;DE;hell;5;330;19/08/2023
1293;Green;Crew Republic Drunken Sailor;2011;DE;IPA;6.4;330;10/10/2023
894;Green;Ratsherrn Rotbier;;DE;amber;5.2;330;03/09/2022
950;Green;Ratsherrn Moby Wit;;DE;weißbier;5.1;330;26/10/2022
824;Green;Straßenbräu Ampelrot;;DE;red lager;5.5;440;16/04/2022
904;Green;Straßenbräu Kaleidoskop;;DE;hazy IPA;6.7;440;08/09/2022
967;Green;Straßenbräu Wunderbär;;DE;German IPA;6;440;09/11/2022
1108;Green;Straßenbräu Peanut Butter Jelly Time;;DE;imperial brown ale;11;440;11/03/2023
979;Green;Bitburger;;DE;pilsner;4.8;100;24/11/2022
980;Green;Sion;;DE;Kölsch;4.8;100;24/11/2022
981;Green;Köstritzer;;DE;schwarzbier;4.8;100;24/11/2022
982;Green;Th. König Zwickl;;DE;weißbier;5.4;100;24/11/2022
983;Green;Benediktiner Weissbier;;DE;zwickl;5.3;100;24/11/2022
1389;Green;Dumme Nuss;;DE;peanut butter milk stout;6;330;15/02/2024
991;Green;Sidekick 2;;DE;"barrel aged; doppelbock";8.5;330;01/12/2022
995;Green;Lick here for 11 minutes of fame;;DE;IPA;6.7;440;03/12/2022
716;Green;Schneider Weisse Original;1872;DE;weißbier;5.4;500;11/09/2021
1035;Green;Schneider Weisse Aventinus;1872;DE;bock;8.2;500;16/01/2023
1237;Green;Schneider Weisse Kristall;1872;DE;weißbier;5.3;500;18/08/2023
;Green;Radeberger;1872;DE;pilsner;4.8;330;
194;Green;Rothaus Pils;;DE;pilsner;5.1;330;14/06/2018
767;Green;Rothaus Eiszäpfle;;DE;beer;5.6;330;26/01/2022
1099;Green;Max I. Joseph;1806;DE;beer;5.2;500;01/03/2023
1394;Green;Diebels Alt;1878;DE;altbier;4.9;330;02/03/2024
1081;Green;Lausitzer Porter;;DE;porter;4.4;500;17/02/2023
1082;Green;Lausitzer Kirsch Porter;;DE;porter;4.2;500;17/02/2023
899;Green;Shades of Orange #3;;DE;saison;4.5;330;06/09/2022
;Green;Schofferhofer;;DE;hefe weizen;5;500;27/05/2015
1087;Green;Berliner;;DE;pilsner;5;500;19/02/2023
1088;Green;Falkenfelser;;DE;pilsner;4.9;500;19/02/2023
1089;Green;Schultheiss;1842;DE;pilsner;5;500;19/02/2023
1093;Green;Keaksack;;DE;beer;5.2;330;27/02/2023
371;Green;Hacker Pschorr Münchner Gold;1417;DE;lager;5.5;500;07/09/2019
689;Green;Hacker Pschorr Münchner Hell;1417;DE;hell;4.9;500;27/08/2021
1109;Green;Löwenbräu;;DE;beer;5.2;500;11/03/2023
1115;Green;Schlösser Alt;1873;DE;altbier;4.8;500;18/03/2023
;Green;Bitburger;1817;DE;beer;4.8;500;04/02/2014
875;Green;Bitburger;1817;DE;beer;4.8;330;25/07/2022
1113;Green;Bitburger Radler;1817;DE;radler;2.5;330;15/03/2023
1133;Green;Bitburger Radler Naturüb;1817;DE;radler;2.5;330;08/04/2023
1112;Green;Bitburger Maibock;1817;DE;maibock;6.7;330;15/03/2023
926;Green;Pyraser Rotbier;;DE;amber;4.6;500;08/10/2022
1114;Green;Duckstein;;DE;weizen;4.9;500;15/03/2023
1163;Green;Gatz;;DE;altbier;4.8;500;13/05/2023
1126;Green;Dackel Hausbier Untergärig;;DE;beer;5.3;330;02/04/2023
1127;Green;Dackel Hausbier Obergärig;;DE;beer;5;330;06/04/2023
1128;Green;Dackel Pale Ale;;DE;pale ale;5.4;330;07/04/2023
1069;Green;Odin-Trunk;;DE;honey beer;5.4;500;09/02/2023
775;Green;Sudden Death Eat my Haze;;DE;NEIPA;7;440;06/02/2022
1154;Green;Sudden Death Savage;;DE;DDHDIPA;8.5;440;28/04/2023
1312;Green;Sudden Death Lübi Lite;;DE;lager;4.5;440;21/10/2023
1143;Green;Gurken Gose;;DE;gose;3.3;330;26/04/2023
1152;Green;Brlo Baltic Porter;;DE;porter;7;330;26/04/2023
1157;Green;Mahr's Bräu U;;DE;beer;5.2;500;05/05/2023
1160;Green;Mahr's Bräu Helles;;DE;hell;4.9;500;08/05/2023
;Green;Köstritzer;1543;DE;dark lager;4.8;330;25/12/2014
1170;Green;Kostritzer Kirsche;1543;DE;cherry;2.8;500;28/05/2023
774;Green;Aachener Landbier;;DE;red ale;5.3;330;06/02/2022
1193;Green;Karl's Helles;;DE;helles;4.8;330;07/07/2023
891;Green;Gaffel;;DE;Kölsch;4.8;330;03/09/2022
1182;Green;Gaffel;;DE;Kölsch;4.8;500;27/06/2023
1183;Green;Gaffel;;DE;Kölsch;4.8;500;27/06/2023
1184;Green;Gaffel;;DE;Kölsch;4.8;500;27/06/2023
1194;Green;Pülleken Helles;;DE;helles;5.2;330;07/07/2023
1195;Green;Reissdorf Kölsch;1894;DE;Kölsch;4.8;330;07/07/2023
1201;Green;Flensburger;;DE;pilsner;4.8;330;19/07/2023
1202;Green;Schreckenskammer;;DE;Kölsch;5;500;19/07/2023
1204;Green;Hasseröder;1872;DE;pilsner;4.9;500;26/07/2023
1208;Green;Rammstein;;DE;pilsner;4.9;500;03/08/2023
1228;Green;Furstlich Drehna Vicus;;DE;strong;7.4;330;07/08/2023
1231;Green;Oberdorfer Helles;;DE;hell;5;500;10/08/2023
1239;Green;Will-Bräu Malztrunk Alkoholfrei;1791;DE;weak shit;0.5;330;18/08/2023
1241;Green;Neumarkter Lammsbräu Alkoholfrei;1628;DE;weak shit;0.5;500;18/08/2023
1240;Green;Tilman's Die Dunkle;;DE;dunkel;5;500;18/08/2023
1343;Green;Moritz Fiege Radler;1878;DE;radler;2.5;330;09/12/2023
1236;Green;Oettinger Pils;1731;DE;pilsner;4.7;500;17/08/2023
1281;Green;Oettinger Export;1731;DE;beer;5.4;500;02/10/2023
1291;Green;Salitos Pink;;DE;beer;5;330;07/10/2023
543;Green;ABK Festbier;1308;DE;festbier;6;500;01/10/2020
544;Green;ABK Dunkel;1308;DE;dunkel;5;500;03/10/2020
566;Green;ABK Edel;1308;DE;edel;5.8;500;21/11/2020
1269;Green;Einbecker;1378;DE;ur-bock;6.5;330;17/09/2023
1271;Green;Zachte;;DE;pils;5;330;17/09/2023
1284;Green;Peters;;DE;Kölsch;4.8;330;05/10/2023
1287;Green;Beethoven;1997;DE;beer;5.9;330;06/10/2023
;Green;Grafenwalder;;DE;pilsner;4.5;500;
1299;Green;Franziskaner Weissbier;;DE;weißsber;5;500;20/10/2023
1309;Green;Gruthaus Stadtbier Münster 1480;;DE;gruit;5.7;330;21/10/2023
1311;Green;Nittenauer;;DE;pale ale;6.3;330;21/10/2023
1304;Green;Superfreunde Fruit Sour;;DE;sour;6.8;440;21/10/2023
1318;Green;True Brew Joyride;;DE;pale ale;5.2;330;28/10/2023
;Green;Riedenburger;1866;DE;beer;4.7;330;
1308;Green;Riedenburger Dolden Dark;1756;DE;porter;6.9;330;21/10/2023
1083;Green;Störtebeker Rogger-Weizen;;DE;red;5.4;500;17/02/2023
1084;Green;Störtebeker Schwarz-Bier;;DE;black;5;500;18/02/2023
1326;Green;Störtebeker Scotch-Ale;;DE;whisky beer;9;500;20/11/2023
1330;Green;Störtebeker Pilsner;;DE;pilsner;5.2;500;26/11/2023
968;Green;Zötler Korbinian Dunkel;1447;DE;dunkel;5.1;500;09/11/2022
935;Green;Schwarzer Steiger;;DE;black;5;500;11/10/2022
1333;Green;Insel-Brauerei Baltic Stout;;DE;stout;7.5;750;05/11/2023
1382;Green;Insel-Brauerei East Coast IPA;;DE;IPA;5.6;330;
1334;Green;Sclossbräu Rheder Perlenzauber;;DE;pale ale;5.8;330;01/12/2023
1335;Green;Käuzle;;DE;pilsner;5;330;02/12/2023
1336;Green;Kurpfalz Bräu;1732;DE;kellerbier;5.3;330;03/12/2023
1337;Green;Steamworks;;DE;IPL;5.8;330;04/12/2023
1338;Green;Erl;;DE;hell;5;330;05/12/2023
1339;Green;Sünden Bock;;DE;bock;7.3;330;06/12/2023
1340;Green;Ettl Bräu Jubiläumsweße;1543;DE;weißbier;5.2;330;07/12/2023
1341;Green;Weihnachts Grantler;;DE;beer;6;330;08/12/2023
1342;Green;Barre Winterier;;DE;amber;5.8;330;09/12/2023
1344;Green;Kerndl-Kini;1666;DE;beer;5.8;330;10/12/2023
1345;Green;Kaiser Export 1881;1881;DE;beer;5.6;330;11/12/2023
1346;Green;Alpirsbacher Klosterbräu;;DE;dunkel;5.2;330;12/12/2023
1347;Green;Schmucker;1780;DE;beer;5.2;330;13/12/2023
1348;Green;Scheider Weisse Origina;1872;DE;weißbier;5.4;330;14/12/2023
1349;Green;Distelhäuser;;DE;hell;4.9;330;15/12/2023
1350;Green;Klosterbräu Bamberger Rauchbier;1533;DE;rauchbier;5.3;330;15/12/2023
1351;Green;Camba WinterZauber;;DE;märzen;6;330;16/12/2023
1352;Green;Hohenthanner Schlossbrauerei;;DE;beer;5.6;330;16/12/2023
1353;Green;Gustl;1494;DE;hell;4.9;330;17/12/2023
1354;Green;Gaffel;;DE;Kölsch;4.8;330;17/12/2023
1355;Green;Rittmayer Pils;;DE;pilsner;5;330;18/12/2023
1356;Green;Ratsherrn;;DE;lager;4;330;18/12/2023
1357;Green;Falter Budderl;1896;DE;pilsner;4.9;330;19/12/2023
1358;Green;Ledenburger Bad Santa Xms Spcl;1789;DE;weizenbock;8;330;19/12/2023
952;Green;Weiherer Keller-Pils;;DE;kellerbier;4.9;500;26/10/2022
969;Green;Weiherer Urstöffla;;DE;dunkel;5.2;500;09/11/2022
984;Green;Weiherer Rauchbock;;DE;rauchbier;7;500;11/11/2022
1371;Green;Weiherer Rolator;;DE;doppelbock;8.8;500;20/01/2024
1101;Green;Flötzinger;1543;DE;hell;5;500;02/03/2023
1385;Green;Flötzinger Rosenheimer Märzen;1543;DE;Märzen;5.5;500;12/02/2024
1402;Green;Jacob Winter Gold;;DE;beer;5.3;500;11/03/2024
1403;Green;Hertl Opa's Liebling;;DE;kellerbier;4.9;330;11/03/2024
1405;Green;Côtes d'Armor;;DE;"barrel aged; Imperial stout";11;330;11/03/2024
283;Red;Walhalla Osiris;;NL;farm house ale;7;330;15/02/2019
1025;Red;B.O.R.I.S;;NL;Russian imperial stout;10.1;330;29/12/2022
992;Red;Bommen & Granaten;;NL;barley wine;11;330;01/12/2022
280;Red;Brouwerij 't Ij Columbus;;NL;amber;9;330;15/02/2019
282;Red;Brouwerij 't Ij Struis;;NL;barley wine;9;330;15/02/2019
286;Red;Brouwerij 't Ij Natte;;NL;double;6.5;330;15/02/2019
779;Red;Brouwerij 't Ij Chinook;;NL;amber ale;6;330;10/02/2022
781;Red;Brouwerij 't Ij Blondie;;NL;blonde;5.8;330;11/02/2022
782;Red;Brouwerij 't Ij Zatte Tripel;;NL;tripel;8;330;14/02/2022
785;Red;Brouwerij 't Ij Flink;;NL;pale ale;4.7;330;23/02/2022
793;Red;Brouwerij 't Ij Ijwit;;NL;wheat;6.5;330;08/03/2022
829;Red;Brouwerij 't Ij Paasij;;NL;lentebock;7;330;25/04/2022
870;Red;Brouwerij 't Ij Biri;;NL;lager;4.7;330;22/07/2022
915;Red;Brouwerij 't Ij Ijbok;;NL;bock;6.5;330;20/09/2022
920;Red;Brouwerij 't Ij Red IPA;;NL;red IPA;6;330;30/09/2022
990;Red;Brouwerij 't Ij Calypso;;NL;session IPA;4;330;28/11/2022
1005;Red;Brouwerij 't Ij Ijndejaars;;NL;Christmas Beer;9;330;13/12/2022
1125;Red;Brouwerij 't Ij Eldorado;;NL;lager;5.3;330;07/04/2023
1266;Red;Brouwerij 't Ij 't Gouden Ij;;NL;blonde;7.5;330;09/09/2023
338;Red;Heineken;1873;NL;lager;5;330;06/07/2019
339;Red;Heineken;1873;NL;lager;5;330;06/07/2019
342;Red;Heineken;1873;NL;lager;5;500;17/07/2019
343;Red;Heineken;1873;NL;lager;5;330;19/07/2019
344;Red;Heineken;1873;NL;lager;5;330;19/07/2019
345;Red;Heineken;1873;NL;lager;5;330;19/07/2019
346;Red;Heineken;1873;NL;lager;5;330;20/07/2019
347;Red;Heineken;1873;NL;lager;5;330;20/07/2019
348;Red;Heineken;1873;NL;lager;5;330;23/07/2019
349;Red;Heineken;1873;NL;lager;5;330;26/07/2019
350;Red;Heineken;1873;NL;lager;5;330;01/08/2019
357;Red;Heineken;1873;NL;lager;5;500;09/08/2019
359;Red;Heineken;1873;NL;lager;5;500;14/08/2019
360;Red;Heineken;1873;NL;lager;5;500;16/08/2019
362;Red;Heineken;1873;NL;lager;5;500;18/08/2019
366;Red;Heineken;1873;NL;lager;5;500;23/08/2019
375;Red;Heineken;1873;NL;lager;5;330;13/09/2019
376;Red;Heineken;1873;NL;lager;5;500;20/09/2019
;Red;Heineken;1873;NL;lager;5;500;
1314;Red;Heineken;1873;NL;lager;5;330;25/10/2023
1010;Red;Heineken Silver;;NL;lager;4;330;17/12/2022
783;Red;Kordaat;;NL;pilsner;4.8;330;17/02/2022
780;Red;Bronckhorster Angus tripel;2005;NL;tripel;8.5;330;10/02/2022
869;Red;Bronckhorster Eigenweiss;2005;NL;weizen;5;330;21/07/2022
;Red;Grolsch;1615;NL;beer;5;450;
201;Red;Grolsch;1615;NL;beer;5;450;
786;Red;Grolsch Winter Bok;1615;NL;winter ale;7.5;500;24/02/2022
787;Red;Grolsch Herfst Bok;1615;NL;autumn ale;6.6;500;26/02/2022
625;Red;Grolsch Weizen;1615;NL;weizen;5.1;500;25/03/2021
989;Red;Grolsch Gerijpte Herfstbok;1615;NL;bock;6.6;500;27/11/2022
1158;Red;Grolsch;1615;NL;beer;6.7;450;05/05/2023
1161;Red;Grolsch Tripel;1615;NL;tripel;8.3;450;09/05/2023
784;Red;Gulpener Spicy Roger;1825;NL;DIPA;8;330;19/02/2022
817;Red;Gulpener Op Stoom;1825;NL;steam beer;6;330;12/04/2022
821;Red;Gulpener Sterk Rogge Tripel;1825;NL;roggenbier;8.5;330;15/04/2022
822;Red;Gulpener Ijsbock;1825;NL;bock;10.3;330;15/04/2022
852;Red;Gulpener Ur-Weizen;1825;NL;weissber;5.3;330;22/05/2022
868;Red;Gulpener Oertarwe Blond;1825;NL;blonde;6.5;330;18/07/2022
893;Red;Gulpener Ur-Hop IPA;1825;NL;IPA;6;330;03/09/2022
911;Red;Gulpener Herfstbock;1825;NL;bock;6.5;330;15/09/2022
938;Red;Gulpener Ur-Pilsner;1825;NL;pilsner;5;330;14/10/2022
947;Red;Gulpener Korenwolf;1825;NL;wheat beer;5;330;24/10/2022
975;Red;Gulpener Pilsner;1825;NL;pilsner;5;330;19/11/2022
1003;Red;Gulpener Wintervrund;1825;NL;Christmas beer;8.5;330;11/12/2022
1138;Red;Gulpener Barrel Aged Jamaican Rum;1825;NL;barrel aged;12;330;12/04/2023
1143;Red;Gulpener Barrel Aged Whiskey Bourbon;1825;NL;barrel aged;12;330;16/04/2023
1200;Red;Gulpener Barrel Aged Gulle Tinus;1825;NL;barrel aged;12;330;18/07/2023
1370;Red;Gulpener Barrel Aged Calvados;1825;NL;barrel aged;12;330;18/01/2024
1142;Red;Gulpener Neubourg;1825;NL;pilsner;5.5;330;14/04/2023
1396;Red;Gulpener Blond;1825;NL;blonde;6.5;330;06/03/2024
806;Red;Two Chefs Brewing Bon Chef;;NL;NEIPA;5;330;26/03/2022
807;Red;Two Chefs Brewing Funky Falcon;;NL;pale ale;5.2;330;26/03/2022
808;Red;Two Chefs Brewing White Mamba;;NL;weißbier;5;330;27/03/2022
871;Red;Oedipus Thai Thai;;NL;spicy tripel;8;330;22/07/2022
872;Red;Oedipus País Tropical;;NL;session IPA;4.5;330;22/07/2022
